645;LE QUÉMENT Joël;290;557
646;NULL;14;NULL
647;NULL;14;NULL
648;JOUVENEL Hugues (de);180;560
649;BOHY Marcel;396;561
650;COHENDET Patrick;269;562
651;COLOMBO Umberto;397;563
652;GUÉDON Jean-Claude;398;564
653;DUNCAN William;399;565
654;HÉRAUD Jean-Alain;400;566
655;LEDOUX Marc-Jacques;401;566
656;TROFIMOFF Constantin;402;567
657;BRENDLE Patrice;266;568
658;ZUSCOVITCH Ehud;341;568
659;TEELING-SMITH Georges;403;569
660;SPITZ Pierre;404;570
661;NULL;14;NULL
662;NULL;14;NULL
663;ROCARD Michel;405;573
664;DATAR;12;574
665;BODIGUEL Maryvonne;406;575
666;SABER Ibrahim R.;407;576
667;NULL;14;NULL
668;NULL;14;NULL
669;NULL;14;NULL
670;BLANCHARD Francis;408;580
671;PASSET René;280;581
672;ELMANDJRA Mahdi;238;582
673;FORSÉ Michel;409;583
674;NULL;14;NULL
675;NULL;14;NULL
676;NULL;14;NULL
677;COMMISSION DES COMMUNAUTÉS EUROPÉENNES;204;587
678;HOLTZ Uwe;410;588
679;'CRÉDOC (Centre de recherche pour l''étude et l''observation des conditions de vie)';411;589
680;JAOUI Hubert;412;590
681;DONATI Pierpaolo;413;591
682;RICHET Vincent;414;592
683;NULL;14;NULL
684;NULL;14;NULL
685;LE QUÉMENT Joël;290;595
686;LORENZI Jean-Hervé;415;596
687;CHAVANES Georges;416;597
688;COIFFET Philippe;417;598
689;LASFARGUES Yves;418;599
690;LASFARGUE Yves;419;600
691;VOISIN Wcévolode;420;601
692;PARDO Pierre;421;602
693;PASSEMARD Jean-Robert;422;602
694;MARGRAIN Pierre;423;603
695;COURTOT François;424;604
696;VOISARD Jacques;425;604
697;JEANDON Paul;426;605
698;ZARADER Robert;427;605
699;NULL;14;NULL
700;NULL;14;NULL
701;MÉTAYER Gérard;428;608
702;EKSL René;429;608
703;SCARDIGLI Victor;95;609
704;CURIEN Nicolas;430;610
705;PÉRIN Pascal;431;610
706;EUVRARD Françoise;432;611
707;FUTURIBLES INTERNATIONAL;45;612
708;HERBERICHS Gérard;433;612
709;NULL;14;NULL
710;NULL;14;NULL
711;NULL;14;NULL
712;GUILLOTIN Yves;434;616
713;MARTIN Gérard;435;617
714;COMMISSION DES COMMUNAUTÉS EUROPÉENNES;204;618
715;YASHIRO Naohiro;436;619
716;BOUDAHRAIN Abdellah;437;620
717;DARAN Michelle;438;621
718;DONDOUX Jacques;439;621
719;NULL;14;NULL
720;NULL;14;NULL
721;CALOT Gérard;440;624
722;ROUSSEL Louis;441;625
723;PAILLAT Paul;442;626
724;PARANT Alain;144;627
725;BOURGEOIS-PICHAT Jean;443;628
726;PARANT Alain;144;629
727;GOMANE Jean-Pierre;444;630
728;NULL;14;NULL
729;FONTELA Emilio;7;632
730;SAINT-GEOURS Jean;76;633
731;PANG Yongjie;445;634
732;TAO Ren;446;634
733;ROBERTS Keith;447;635
734;MIHAIES Georges;448;636
735;NOUKI Takao;449;636
736;NULL;14;NULL
737;NULL;14;NULL
738;PELISSOLO Jean-Claude;450;639
739;MIHAIES Georges;448;640
740;ORFEUIL Jean-Pierre;451;641
741;SÉSAME-DATAR;452;642
742;HÉRAN Frédéric;453;643
743;LLERENA Patrick;454;643
744;WILLINGER Marc;455;643
745;NULL;14;NULL
746;NULL;14;NULL
747;AGLIETTA Michel;456;646
748;OUDIZ Gilles;457;646
749;BRENDER Anton;458;647
750;LAFAY Gérard;459;647
751;BOYER Roger;460;648
752;MISTRAL Jacques;461;648
753;DOURILLE-FEER Évelyne;462;649
754;COMÉLIAU Christian;463;650
755;COHEN Daniel;464;651
756;CHARPIN Jean-Michel;465;652
757;HÉRITIER Pierre;466;653
758;VENTURINI Patrick;467;653
759;VILAREM Pierre;468;653
760;NULL;14;NULL
761;NULL;14;NULL
762;GODET Michel;142;656
763;JOUVENEL Hugues (de);180;656
764;GODET Michel;142;657
765;ANCELIN Claire;469;658
766;DUCOS Gilbert;470;659
767;GODET Michel;142;660
768;CURIEN Nicolas;430;661
769;GENSOLLEN Michel;471;661
770;COURBIS Raymond;472;662
771;SIGNORA André;473;663
772;AUJAC Henri;281;664
773;GODET Michel;142;665
774;FONTELA Emilio;7;666
775;GODET Michel;142;667
776;ADER Emmanuel;474;668
777;BOUVIER Michel;475;669
778;OLIVIER Marcel;476;669
779;BUIGUES Pierre-André;477;670
780;TASSEL Jacques;478;671
781;GODET Michel;142;672
782;GENET Alain;479;673
783;KLIPFEL Henry;480;674
784;RIVELINE Claude;481;675
785;LESOURNE Jacques;156;676
786;MIHAIES Georges;448;677
787;NULL;14;NULL
788;NULL;14;NULL
789;NULL;14;NULL
790;BIT (Bureau international du travail);482;681
791;BUREAU INTERNATIONAL DU TRAVAIL;483;681
792;ANKERL Guy;484;682
793;BAYEN Marcel;485;683
794;STEMMELEN Éric;486;684
795;NULL;14;NULL
796;NULL;14;NULL
797;BOULLIER Dominique;487;687
798;HIROSHI Iwai;488;688
799;CLAVEL Gilbert;489;689
800;ROY Caroline;490;690
801;ELMANDJRA Mahdi;238;691
802;TOFFLER Alvin;48;691
803;HUCHET Isabelle;491;692
804;NULL;14;NULL
805;NULL;14;NULL
806;GINNEKEN Wouter van;492;695
807;AMADE Patrice;493;696
808;AZNAR Guy;327;696
809;SAINT-GEOURS Jean;76;696
810;Barde Jean-Philippe;173;697
811;PEARCE David;494;697
812;SACHS Ignacy;225;698
813;NULL;14;NULL
814;NULL;14;NULL
815;PECCEI Aurelio;220;701
816;NULL;14;NULL
817;BABEAU André;300;703
818;LEBART Ludovic;301;703
819;ANTOINE Jacques;495;704
820;NULL;14;NULL
821;NULL;14;NULL
822;COLOMBO Umberto;397;707
823;ROBIN Jacques;356;708
824;CHERKI Eddy;496;709
825;CLAVAUD Richard;497;709
826;MALSOT Jean;498;710
827;NULL;14;NULL
828;NULL;14;NULL
829;PETRELLA Riccardo;206;713
830;CATY Gilbert-François;130;714
831;NULL;14;NULL
832;PISANI Edgard;499;716
833;GODET Michel;142;717
834;NULL;14;NULL
835;NULL;14;NULL
836;DE DIETRICH Philippe;500;720
837;EUZÉBY Chantal;501;721
838;COLLECTIF;502;722
839;GROUPE TRAVAIL ET SOCIÉTÉ;503;723
840;PARANT Alain;144;724
841;SAINT-GEOURS Jean;76;725
842;NULL;14;NULL
843;NULL;14;NULL
844;DIRN Louis;504;728
845;MENDRAS Henri;68;728
846;INGLEHART Ronald;390;729
847;Rabier Jacques-René;298;729
848;NULL;14;NULL
849;PROTARD Olivier;505;731
850;LASFARGUES Yves;418;732
851;RAY George F.;506;733
852;NULL;14;NULL
853;NULL;14;NULL
854;INGLEHART Ronald;390;736
855;Rabier Jacques-René;298;736
856;CATHELAT Bernard;256;737
857;MARTIN Philippe;507;738
858;TÉNIERE-BUCHOT Pierre-Frédéric;37;739
859;GLAZER Nathan;508;740
860;ELMANDJRA Mahdi;238;741
861;NULL;14;NULL
862;NULL;14;NULL
863;LE DIBERDER Alain;509;744
864;WASSERMAN Francis;168;744
